folder,file_name,size,duration
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1 Hola Angular.mp4,39,58
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_1 Instalación del Angular CLI y generación de una aplicación.mp4,27,128
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_1_1 Crear un proyecto nuevo Activity Bookings.mp4,104,352
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_1_2 Arbol de ficheros y carpetas.mp4,90,212
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_2 Comandos básicos para depurar y ejecutar aplicaciones.mp4,30,137
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_2_1 Compilar y servir en modo producción.mp4,105,197
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_2_2 Ejecutar y actualizar aplicación en modo desarrollo.mp4,126,211
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,"1_3 Configuración del espacio de trabajo, editor y herramientas recomendadas.mp4",21,107
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_3_1 Angular Essentials y DotFiles.mp4,58,104
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\1 - Hola Angular,1_3_2 Eslint y prettier.mp4,85,165
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2 Componentes.mp4,52,58
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_1 Generación de componentes.mp4,61,204
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_1_1 El CLI y el Angular json.mp4,166,364
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_2 Anatomía de un componente plantillas y lógica.mp4,32,149
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_2_1 Plantillas para las vistas.mp4,116,214
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_2_2 Propiedades y métodos.mp4,196,324
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_3 Presentación de datos.mp4,36,166
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_3_1 Datos y transformación.mp4,144,261
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\2 - Componentes,2_3_2 Estilos.mp4,153,251
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3 Señales y control.mp4,52,58
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_1 Actualización de datos y refresco de pantalla usando Signals.mp4,43,169
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_1_1 Señales por todas partes.mp4,212,357
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_2 Programación reactiva con Signals.mp4,58,223
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_2_1 Computación derivada.mp4,170,286
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_2_2 Efectos colaterales.mp4,151,236
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_3 Estructuras de control declarativas.mp4,34,136
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_3_1 Condicionales.mp4,87,135
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\3 - Señales y control,3_3_2 Repetitivas.mp4,243,373
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_0 Rutas y SPA.mp4,45,58
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_1 Conceptos de enrutado y Single Page Applications.mp4,66,198
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_1_1 Configuración y router outlet.mp4,342,509
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_1_2 Router link.mp4,153,222
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_1_3 Page components.mp4,206,285
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,"4_2 Parámetros en las rutas, señales en los componentes.mp4",52,170
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_2_1 Configuración y envío.mp4,189,328
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_2_2 Recepción reactiva de parámetros como señales.mp4,242,387
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_3 SEO y Server Side Rendering.mp4,104,315
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_3_1 SPA y navegación local y offline.mp4,193,416
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\4 - Rutas y SPA,4_3_2 Indexación de contenido SSR.mp4,161,276
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5 Comunicaciones HTTP.mp4,52,58
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_1 Consumo de un API.mp4,61,229
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_1_1 Lectura asíncrona de datos.mp4,301,454
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_1_2 Envío asíncrono de cambios.mp4,233,347
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_2 Asincronismo y señales.mp4,21,87
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_2_1 Señales con los datos recibidos.mp4,156,223
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_2_2 Señales para enviar cambios.mp4,163,237
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_3 Operadores RxJS.mp4,57,234
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_3_1 Tuberias funcionales.mp4,318,392
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\5 - Comunicaciones HTTP,5_3_2 Interoperabilidad de señales y observables.mp4,316,413
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6 Patrones de escalado.mp4,47,58
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_1 Patrón Container Presenter.mp4,71,236
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_1_1 Extraer presentación a un componente simple.mp4,94,149
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_1_2 Refactorizar componente contenedor inteligente.mp4,60,95
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_1_3 Comunicación entre contenedor y presentador.mp4,192,322
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_2 Servicios e inyección de dependencias.mp4,64,220
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_2_1 Extraer lógica y datos a un servicio fachada.mp4,127,209
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_2_2 Inyectar dependencias en el componente contenedor.mp4,95,165
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_3 Principio DRY con código compartido.mp4,28,115
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_3_1 Servicios y utilidades de datos comunes.mp4,281,391
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_3_2 Lógica y tipos de dominio.mp4,136,174
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\6 - Patrones de escalado,6_3_3 Componentes reutilizables.mp4,159,237
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\7 - Programación reactiva,7_1 Un almacén global basado en Signals.mp4,48,201
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\7 - Programación reactiva,7_1_1 Crear un store basado en signals.mp4,61,161
C:/Users/alber/OneDrive/Documentos/VideoCursos/Angular moderno\7 - Programación reactiva,7_1_2 Uso desde páginas o componentes inteligentes.mp4,93,166
